trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.52547335691335,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-135.1917530226727,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-251.3804644680019,"{0: 14, 1: 2, 2: 8, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-84.40370009575085,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-118.19462940385367,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-244.30764748512354,"{0: 15, 1: 1, 2: 8, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-93.64117090995828,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,5,-101.71637757743254,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-255.02215496594715,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-147.09980069409013,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-169.37521125851038,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-227.08567098836446,"{0: 17, 1: 4, 2: 10, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-105.8694096948479,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-111.7059900019717,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,-92.04094034522191,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-170.25345183420856,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-223.79432836189926,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-161.67032810395781,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-229.8875762949804,"{0: 18, 1: 0, 2: 5, 3: 4, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-143.62907310641236,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-235.91912716602513,"{0: 12, 1: 0, 2: 7, 3: 3, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",35,0,-221.21680954895734,"{0: 22, 1: 0, 2: 8, 3: 2, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-214.14954416955388,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-112.44398348632804,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-157.8661553794239,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-173.62514080496314,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,2,-130.59897471199395,"{0: 11, 1: 0, 2: 2, 3: 4, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-151.2619011344629,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-194.8668716353385,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,6,-261.8567805769831,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 5}",1
