trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9754189607268368}",35,0,-196.13935699483787,"{0: 18, 1: 5, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9078788490813933}",25,15,-16.686370395582177,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.8139031961014406}",25,0,-179.32272653760532,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.7164839244374953}",20,0,-159.52493934215875,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.6394513912521679}",25,5,-140.83604947748898,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",1
6,False,"{'a': 0.1, 'e': 0.601640299779503}",25,0,-276.175452015316,"{0: 9, 1: 4, 2: 5, 3: 3, 4: 4}",0
7,False,"{'a': 0.1, 'e': 0.6122797664780615}",25,0,-149.22958655105268,"{0: 11, 1: 5, 2: 5, 3: 4, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.6687358588066158}",20,15,-1.3452849433433558,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.7571587833577416}",25,0,-168.72193627357768,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.8558757046555526}",35,0,-304.2379546450657,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 5}",0
11,False,"{'a': 0.1, 'e': 0.9406980475079079}",25,0,-172.0706400973054,"{0: 9, 1: 6, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9908436164612772}",35,0,-238.4692671488023,"{0: 17, 1: 8, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.9940236123629155}",25,0,-189.02464093371125,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.1, 'e': 0.9494493582374448}",30,0,-140.1135507007947,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.8680230729716547}",25,0,-160.94673244573056,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.1, 'e': 0.769666553249096}",20,0,-204.09692292558958,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
