trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-92.56982568704329,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-146.78986671390493,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-119.34921771275074,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-52.27546534999969,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-63.63829255466574,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-90.79614629490358,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-125.1274605056081,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-34.55347231314128,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-153.39300921328675,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-38.52485139607181,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-111.09419402092672,"{0: 20, 1: 6, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-80.28190006123876,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-91.75064513044036,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-224.29838627929823,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-127.53026183322555,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-78.91610231596228,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-130.28115773163702,"{0: 21, 1: 6, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-57.10521553807662,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-213.9108879211081,"{0: 7, 1: 5, 2: 2, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-122.99391455494904,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': -0.05}",30,0,-192.78181671084536,"{0: 11, 1: 8, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': -0.05}",30,0,-90.42568567230224,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': -0.05}",25,0,-118.24853298705096,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': -0.05}",25,0,-128.7608745880063,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': -0.05}",25,0,-131.59980379213275,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': -0.05}",20,0,-101.81034704944953,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': -0.05}",20,0,-58.408770229357174,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': -0.05}",20,0,-59.90864991299535,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': -0.05}",25,0,-242.74779463010373,"{0: 10, 1: 4, 2: 5, 3: 3, 4: 3}",0
10,True,"{'a': 0, 'e': -0.05}",25,0,-106.88962392496566,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
